Handsome;DoesntExist;CanBeAfraid;WellConsidered;MeaninglessConcept;Model;BecomesOneByDying;CanBeMean;ActsForMajority;CanDoBadThings;HasNoFamily;AccomplishesExtraordinary;HasBeenThroughOrdeals;IsTheMainCharacterOf;IsDefinedAsSuchDespite;ComesFromBelief;HasNoNormalLife;ArousesAdmiration;BeyondAvergageMenAbilities;SupernaturalAbilities;DoestExistInUtopianWorld;ActsAlone;Intemporal;CanBeIdentifiedTo;GivesBestOfThemselves;FightsAgainstEvil;Stubborn;PersonnalNotion;InsideUs;RisksLifeForOthers;QuestionsSocietyRules;HelpsOthers;Brave;ActsAccordingToTheirValues;WhenUHearWordHero;DoYouLikeMovieBookWhereCharacterIsHero;MostImportantInYourLife;AreUCreative;AreUindependant;AreUCurious;AreUSensitive;AreUGenerous;AreUTimid;GoOnPilgrimage;GoOnInstagram;ReadStimulatingBook;TakeDrugs;WatchMovie;DuringWorkTime;LookAtPostcard;TouchMaterial;SmellPerfume;ShareEmotionsWithRelatives;GoAbroad;ListenToForeignLanguage;ToRemember;EatUnusualMeal;GoToMuseum;GoToExhibition;EscapeDaily;ObserveSculptureArchitecture;MeetNewPeople;HaveFun;LearnAboutOneself;EverywhereButHome;ToRelax;ToExplore;DiscoverNewCulture;Dream;Essential;ListenToSong;EvaluationHero;EvaluationTravel
DontAgree;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;TotallyAgree;DontAgree;DontAgreeAtAll;Agree;Neither;DontAgree;Neither;Neither;Neither;Neither;DontAgree;DontAgreeAtAll;Agree;Neither;Neither;DontAgree;DontAgree;TotallyAgree;Agree;Neither;Neither;Neither;TotallyAgree;Neither;Agree;Neither;Agree;TotallyAgree;Agree;Someone Fictive;Yes;Love;TotallyAgree;Neither;Agree;TotallyAgree;TotallyAgree;Neither;DontAgree;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgree;DontAgree;Neither;DontAgree;Neither;Neither;TotallyAgree;Agree;Neither;Agree;Neither;Neither;DontAgree;Neither;Agree;Agree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;TotallyAgree;TotallyAgree;Agree;TotallyAgree;Neither;9;8
DontAgreeAtAll;DontAgreeAtAll;Agree;Neither;DontAgreeAtAll;Agree;DontAgree;Neither;TotallyAgree;Agree;DontAgree;Agree;Neither;DontAgree;Neither;DontAgree;Neither;DontAgree;TotallyAgree;DontAgree;Neither;DontAgreeAtAll;Agree;Neither;Neither;Neither;Agree;Agree;DontAgree;Neither;TotallyAgree;Neither;Neither;TotallyAgree;Someone Famous;No;Freedom;DontAgree;TotallyAgree;TotallyAgree;Agree;Neither;Agree;DontAgreeAtAll;DontAgree;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;Neither;Neither;Agree;DontAgreeAtAll;TotallyAgree;Neither;Agree;Agree;Neither;DontAgree;Agree;DontAgree;TotallyAgree;DontAgree;DontAgree;Agree;Neither;TotallyAgree;TotallyAgree;Neither;Neither;Agree;10;7
DontAgree;DontAgreeAtAll;Agree;Neither;DontAgreeAtAll;Agree;DontAgree;DontAgree;TotallyAgree;DontAgree;DontAgree;Agree;Agree;DontAgreeAtAll;Neither;DontAgree;DontAgree;TotallyAgree;Neither;Neither;Neither;DontAgreeAtAll;TotallyAgree;Agree;Neither;TotallyAgree;Neither;Neither;Neither;Agree;Neither;Neither;Agree;Neither;Someone Fictive;Yes;Freedom;TotallyAgree;Agree;Agree;Agree;Neither;DontAgree;Agree;Neither;Neither;Neither;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgree;TotallyAgree;Agree;Agree;Neither;DontAgree;DontAgree;Neither;TotallyAgree;DontAgreeAtAll;DontAgree;Agree;DontAgree;TotallyAgree;DontAgreeAtAll;TotallyAgree;Agree;Neither;Agree;Neither;8;9
Neither;DontAgreeAtAll;Neither;DontAgree;DontAgree;Agree;DontAgree;DontAgreeAtAll;Agree;Neither;DontAgree;Neither;Neither;DontAgree;TotallyAgree;DontAgreeAtAll;DontAgree;Agree;DontAgree;DontAgreeAtAll;Neither;Neither;Neither;Agree;Agree;Agree;Neither;Neither;TotallyAgree;Neither;Neither;TotallyAgree;Agree;TotallyAgree;Someone Famous;No;Justice;Agree;Neither;Agree;Neither;Agree;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;Agree;Neither;DontAgree;Agree;Neither;Neither;DontAgree;Agree;Neither;Agree;Agree;Agree;TotallyAgree;TotallyAgree;TotallyAgree;Neither;DontAgree;TotallyAgree;Neither;8;6
DontAgree;DontAgreeAtAll;Neither;DontAgree;DontAgreeAtAll;Neither;Neither;Neither;Neither;Neither;DontAgree;Agree;Neither;Neither;Neither;DontAgree;DontAgree;TotallyAgree;DontAgreeAtAll;Neither;DontAgree;DontAgree;Neither;Agree;Agree;Agree;Agree;Agree;TotallyAgree;Agree;DontAgreeAtAll;TotallyAgree;Neither;TotallyAgree;Someone Famous;No;Freedom;DontAgree;Agree;Agree;Agree;Agree;Agree;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgree;DontAgree;DontAgree;DontAgreeAtAll;Neither;Agree;Neither;Agree;Neither;Neither;Neither;Neither;TotallyAgree;Neither;TotallyAgree;Agree;DontAgree;DontAgree;TotallyAgree;TotallyAgree;Agree;Agree;Agree;DontAgree;9;8
DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgree;DontAgree;Agree;Neither;Neither;Agree;Neither;DontAgree;Neither;Neither;Neither;Agree;DontAgree;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgree;DontAgree;Neither;Agree;Neither;Neither;DontAgree;Agree;TotallyAgree;TotallyAgree;Neither;TotallyAgree;Neither;Agree;TotallyAgree;Someone Famous;No;Justice;Agree;Agree;Agree;TotallyAgree;TotallyAgree;TotallyAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgreeAtAll;Neither;DontAgree;Agree;DontAgree;Agree;TotallyAgree;TotallyAgree;Neither;Agree;Neither;DontAgreeAtAll;DontAgree;TotallyAgree;DontAgree;Neither;Neither;Neither;Agree;Neither;Neither;TotallyAgree;Agree;DontAgree;Agree;9;5
DontAgreeAtAll;Neither;Agree;DontAgree;DontAgree;TotallyAgree;DontAgreeAtAll;DontAgreeAtAll;Agree;Neither;DontAgree;Neither;Neither;Neither;DontAgree;DontAgree;DontAgree;Neither;DontAgreeAtAll;DontAgree;Neither;Agree;Neither;TotallyAgree;Neither;Neither;Neither;Agree;TotallyAgree;Agree;Neither;TotallyAgree;Agree;Agree;Someone I Know;Yes;Freedom;DontAgree;Agree;Agree;Agree;Agree;Agree;DontAgree;DontAgree;TotallyAgree;DontAgreeAtAll;DontAgree;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;TotallyAgree;DontAgreeAtAll;TotallyAgree;Agree;Neither;DontAgree;Neither;Neither;Agree;Agree;Neither;DontAgree;Neither;Neither;Agree;TotallyAgree;Agree;Agree;9;10
Neither;Neither;Neither;Neither;DontAgreeAtAll;TotallyAgree;DontAgreeAtAll;DontAgree;Neither;Neither;DontAgree;DontAgree;Neither;DontAgree;Neither;DontAgree;Neither;Agree;DontAgree;DontAgreeAtAll;DontAgree;Agree;Neither;Agree;Agree;Agree;DontAgreeAtAll;Agree;TotallyAgree;Neither;Neither;TotallyAgree;Agree;TotallyAgree;Nobody in particular;Yes;Justice;TotallyAgree;Agree;TotallyAgree;TotallyAgree;TotallyAgree;Neither;DontAgree;DontAgreeAtAll;TotallyAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;TotallyAgree;Neither;Neither;TotallyAgree;Neither;TotallyAgree;Neither;Neither;Agree;Agree;Agree;Agree;DontAgree;Agree;Agree;DontAgree;Neither;DontAgree;9;10
Neither;DontAgreeAtAll;TotallyAgree;DontAgree;DontAgree;Agree;DontAgreeAtAll;Agree;Agree;Agree;DontAgree;Neither;Neither;Neither;DontAgreeAtAll;DontAgree;DontAgree;Neither;DontAgree;DontAgreeAtAll;DontAgree;Neither;Neither;Agree;Neither;Neither;Agree;TotallyAgree;TotallyAgree;Neither;Neither;Neither;TotallyAgree;Agree;Nobody in particular;Yes;Knwoledge;Neither;Agree;Agree;Agree;TotallyAgree;DontAgree;Neither;DontAgree;DontAgree;DontAgree;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgree;TotallyAgree;Agree;Neither;Agree;Neither;DontAgree;Neither;Agree;DontAgreeAtAll;Agree;TotallyAgree;Neither;Neither;Agree;TotallyAgree;Agree;Neither;TotallyAgree;DontAgreeAtAll;8;7
Neither;DontAgree;Agree;DontAgree;Neither;Neither;DontAgreeAtAll;Agree;Neither;Agree;DontAgreeAtAll;TotallyAgree;Neither;DontAgree;DontAgree;DontAgree;DontAgreeAtAll;Neither;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;Neither;Agree;Agree;Neither;Neither;TotallyAgree;Agree;Agree;TotallyAgree;TotallyAgree;Nobody in particular;Yes;Freedom;Agree;Agree;Agree;DontAgree;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgree;Neither;Neither;DontAgree;DontAgreeAtAll;TotallyAgree;TotallyAgree;Agree;Agree;Neither;Neither;Agree;DontAgreeAtAll;DontAgree;Neither;Agree;DontAgree;Neither;Agree;TotallyAgree;TotallyAgree;Neither;Agree;DontAgree;7;7
